"","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"CAC_3_Score",1,0.458621268147021,0.016694111706937,-0.179971059548357,0.029375890289738,-0.115564839872057,0.0709316780623294,-0.0845019651636394,-0.00509208286476361,0.227827739262417,0.251706630544915,0.494150736006093,0.442128906514052,0.383072612409059,0.24084141168077,0.0442737394920054,0.176854636213685,-0.235070227779243
"IMM_2_Score",0.458621268147021,1,0.145980051396307,-0.12424056612829,0.184606018319117,0.116452683392726,0.136952978980596,0.282370341099502,-0.149870570706916,0.273042597664458,0.242811678079595,0.225904307280882,0.268673449305738,0.531296127451923,0.360855044880474,0.159399100229398,0.272060951749814,-0.221518861453632
"IMM_3_OP_27_FAC_ADHPCT_Score",0.016694111706937,0.145980051396307,1,-0.0595234838371672,0.0119978189940704,0.0855681420386168,0.0468077897514253,0.075721448487504,-0.0767274664198698,0.0517265055474704,0.0741331273700939,0.105989454863557,0.042069462877189,0.146554877059391,0.112047784706341,0.0718782624387238,-0.00841851748192479,-0.0550244734073459
"OP_22_Score",-0.179971059548357,-0.12424056612829,-0.0595234838371672,1,-0.140910203519795,-0.0627655091316201,-0.0716880550583263,-0.118900373422789,0.0515612789045683,-0.0790667798965768,-0.0774017673853091,-0.0519324910330743,-0.0722945329529776,-0.138692966558811,-0.116604479955036,-0.0913311871762807,-0.0515797425967081,0.0987579586415403
"OP_23_Score",0.029375890289738,0.184606018319117,0.0119978189940704,-0.140910203519795,1,0.0769991927001337,0.0560537462545752,0.0916318931685137,-0.0329232909726133,0.220037780375135,0.107420267966749,0.190441714050999,0.16980481189429,0.25291234066458,0.211909405031149,0.0858955035764687,0.157492791701206,-0.18455573903893
"OP_29_Score",-0.115564839872057,0.116452683392726,0.0855681420386168,-0.0627655091316201,0.0769991927001337,1,0.369043112198155,0.112078726790948,-0.0603356209095439,0.0366298092472376,0.0892468535729377,0.142734223498618,0.0917438296937509,0.125688762004254,0.102683095762421,0.188619162692111,0.0509017524983572,-0.0499978601174825
"OP_30_Score",0.0709316780623294,0.136952978980596,0.0468077897514253,-0.0716880550583263,0.0560537462545752,0.369043112198155,1,0.149375129044283,-0.0420030718346432,0.0345153189001232,0.0836096832802352,0.0954018053340811,0.0950889729445803,0.15568622417673,0.124946393802765,0.164761953644588,0.0866137622761729,-0.0587597824877203
"OP_4_Score",-0.0845019651636394,0.282370341099502,0.075721448487504,-0.118900373422789,0.0916318931685137,0.112078726790948,0.149375129044283,1,-0.158912323707287,0.0429875719908569,0.137816758201059,0.126343049031023,0.0709081167424044,0.379082020868964,0.205645246529182,0.146099852520041,0.14332043564037,-0.129066042403157
"PC_01_Score",-0.00509208286476361,-0.149870570706916,-0.0767274664198698,0.0515612789045683,-0.0329232909726133,-0.0603356209095439,-0.0420030718346432,-0.158912323707287,1,-0.0626840584873202,-0.101253125674054,-0.101127487618964,-0.114704304523258,-0.157354658232553,-0.119275530808097,-0.102257560343023,-0.0671669391490662,0.0751558874338007
"STK_4_Score",0.227827739262417,0.273042597664458,0.0517265055474704,-0.0790667798965768,0.220037780375135,0.0366298092472376,0.0345153189001232,0.0429875719908569,-0.0626840584873202,1,0.235184427198073,0.49875799656314,0.304456955797547,0.315814303375815,0.256476804816857,0.189830263371809,0.10266875710654,-0.251701652839411
"STK_5_Score",0.251706630544915,0.242811678079595,0.0741331273700939,-0.0774017673853091,0.107420267966749,0.0892468535729377,0.0836096832802352,0.137816758201059,-0.101253125674054,0.235184427198073,1,0.401398177494295,0.274815610326348,0.331087667847581,0.270116718611251,0.237296979973609,0.108215586151047,-0.134990730384381
"STK_6_Score",0.494150736006093,0.225904307280882,0.105989454863557,-0.0519324910330743,0.190441714050999,0.142734223498618,0.0954018053340811,0.126343049031023,-0.101127487618964,0.49875799656314,0.401398177494295,1,0.40357599489853,0.406903093348745,0.395944856518829,0.366599590161972,0.152027326260663,-0.273370579724944
"STK_8_Score",0.442128906514052,0.268673449305738,0.042069462877189,-0.0722945329529776,0.16980481189429,0.0917438296937509,0.0950889729445803,0.0709081167424044,-0.114704304523258,0.304456955797547,0.274815610326348,0.40357599489853,1,0.352689642366218,0.307822439974506,0.241358925845771,0.278346525223816,-0.256022387871026
"VTE_1_Score",0.383072612409059,0.531296127451923,0.146554877059391,-0.138692966558811,0.25291234066458,0.125688762004254,0.15568622417673,0.379082020868964,-0.157354658232553,0.315814303375815,0.331087667847581,0.406903093348745,0.352689642366218,1,0.744717967268399,0.31416287557368,0.301158077179175,-0.504139416542293
"VTE_2_Score",0.24084141168077,0.360855044880474,0.112047784706341,-0.116604479955036,0.211909405031149,0.102683095762421,0.124946393802765,0.205645246529182,-0.119275530808097,0.256476804816857,0.270116718611251,0.395944856518829,0.307822439974506,0.744717967268399,1,0.285173168107991,0.222968191708117,-0.459180300788464
"VTE_3_Score",0.0442737394920054,0.159399100229398,0.0718782624387238,-0.0913311871762807,0.0858955035764687,0.188619162692111,0.164761953644588,0.146099852520041,-0.102257560343023,0.189830263371809,0.237296979973609,0.366599590161972,0.241358925845771,0.31416287557368,0.285173168107991,1,0.236841627198619,-0.347212572633721
"VTE_5_Score",0.176854636213685,0.272060951749814,-0.00841851748192479,-0.0515797425967081,0.157492791701206,0.0509017524983572,0.0866137622761729,0.14332043564037,-0.0671669391490662,0.10266875710654,0.108215586151047,0.152027326260663,0.278346525223816,0.301158077179175,0.222968191708117,0.236841627198619,1,-0.196432303911814
"VTE_6_Score",-0.235070227779243,-0.221518861453632,-0.0550244734073459,0.0987579586415403,-0.18455573903893,-0.0499978601174825,-0.0587597824877203,-0.129066042403157,0.0751558874338007,-0.251701652839411,-0.134990730384381,-0.273370579724944,-0.256022387871026,-0.504139416542293,-0.459180300788464,-0.347212572633721,-0.196432303911814,1
